Account_No	Loan_ID	Started_year	Started_date	Current Loan Amount	Monthly Debt	Interest.Rate	Maximum Open Credit
ACC446535822	19888-102509	2019	7/26/2019	429550	26991.97		307780
ACC446561014	5548-1507	2019	8/16/2019	383240	6194.19		633468
ACC446574710	6684-3132	2019	04/12/2019	237798	23498.06		321640
ACC446599165	76710-102060	2019	11/19/2019	327426	12823.86		445082
ACC44663643	6407-40379	2019	3/15/2019	237248	9595.95		409068
ACC446643552	10149-99154	2019	2/20/2019	270842	109284.58		628386
ACC446647990	21691-197868	2019	01/03/2019	221672	5819.13		625504
ACC446674734	73956-124170	2020	2/27/2020	329648	4934.49		254936
ACC446705332	74329-81960	2020	2/26/2020	775390	49688.42		2209768
ACC446709004	10858-103224	2020	04/09/2020	154880	4719.79		146102
ACC446712762	28201-249814	2019	5/15/2019	305096	7509.75		331430
ACC446713425	6187-149664	2019	9/13/2019	447700	10075.51		147686
ACC446790279	6834-82360	2019	11/18/2019	188078	13532.18		264176
ACC446798515	1542-129324	2019	6/29/2019	664796	29132.13		288772
ACC446806087	49349-233546	2019	11/23/2019	171666	18653.82		246862
ACC446813820	13425-107937	2020	4/15/2020	451946	8733.92		1277672
ACC446839188	27006-108203	2019	3/23/2019	533170	28539.52		1033252
ACC446839656	23650-228164	2019	9/17/2019	130856	11347.94		222376
ACC446843349	13489-106901	2019	8/26/2019	51964	1446.28		38984
ACC446889452	79266-96990	2019	03/09/2019	268378	7426.15		2393248
ACC446892261	74170-33019	2019	04/03/2019	422136	57924.16		2416172
ACC44690223	20787-203505	2019	3/30/2019	393668	11269.85		993014
ACC446969296	21163-178024	2020	1/31/2020	759000	33461.28		486156
ACC4469696	8982-85012	2019	06/11/2019	135345	17261.88		1015982
ACC446983510	5390-286	2019	3/23/2019	751828	32032.48		1432926
ACC447035251	16856-176085	2019	11/16/2019	428032	10265.7		556116
ACC44704722	24220-230640	2019	07/12/2019	673794	16028.4		1756172
ACC447053422	10864-103214	2019	08/05/2019	757680	16015.48		767954
ACC447055733	6566-65340	2020	02/01/2020	269368	13010.63		307890
ACC447061079	2204-146	2020	1/26/2020	257686	14215.42		296450
ACC447077855	26130-243204	2019	02/09/2019	220748	16340.76		469392
ACC447108076	74307-78801	2020	04/07/2020	135345	14044.8		302456
ACC44712110	254-196664	2019	4/25/2019	594770	24303.66		459932
ACC447134477	5573-164244	2019	4/14/2019	352484	11501.65		530552
ACC447143381	10896-103190	2019	4/15/2019	332970	16482.69		411818
ACC447160635	79680-99500	2019	7/13/2019	335390	10877.69		1158806
ACC447181368	8830-93513	2019	8/18/2019	528220	31627.21		898678
ACC447213706	74157-17756	2019	02/08/2019	518122	24471.24		770792
ACC447255550	5802-4253	2019	07/09/2019	222332	28836.11		180026
ACC447269106	47551-256564	2019	04/12/2019	375122	18586.94		659736
ACC447270862	267-137	2020	1/15/2020	209088	19924.54		341880
ACC447274300	73632-87500	2019	3/17/2019	195778	36493.49		590898
ACC44731933	5354-898	2019	8/26/2019	337062	17344.72		530200
ACC447359040	13336-100888	2020	1/27/2020	212388	17164.41		343970
ACC447376772	25986-236504	2019	08/08/2019	177320	60577.89		5041212
ACC44737854	6216-53	2019	2/20/2019	135345	11078.14		252912
ACC447392577	6392-3134	2019	10/11/2019	207856	7289.92		431178
ACC447393664	10897-103435	2019	12/06/2019	362384	32958.35		3171256
ACC447455566	74490-83226	2020	04/05/2020	56078	26225.7		596750
ACC447514640	74397-83225	2019	10/09/2019	193490	4567.41		1262888
ACC447518136	72587-103419	2019	4/25/2019	67628	6755.26		256652
ACC447534403	74310-65059	2019	8/18/2019	135345	30035.01		597058
ACC447536917	5333-285	2020	04/09/2020	607002	58789.04		1169124
ACC447547599	29154-247767	2019	8/21/2019	125136	8643.67		417296
ACC447605407	6872-75940	2019	10/15/2019	357940	20992.34		1713558
ACC447612112	73585-79748	2019	08/08/2019	419034	11963.54		485914
ACC447612947	6832-180504	2019	05/02/2019	136070	18671.87		342518
ACC447613036	73962-136615	2019	10/03/2019	755062	28785.57		884136
ACC447668674	74199-26807	2020	4/16/2020	182160	12068.8		149600
ACC447672357	17823-180505	2019	8/22/2019	158378	14019.34		420860
ACC447672978	6352-20899	2019	3/27/2019	218086	13460.93		349140
ACC447700709	72896-91821	2020	03/06/2020	213928	14113.01		251702
ACC447716638	19141-197867	2019	2/24/2019	135345	5183.2		235510
ACC447759599	47718-259426	2019	9/19/2019	51810	16714.68		138182
ACC447770912	5612-1977	2019	08/09/2019	167706	44812.64		165440
ACC447808505	74159-24007	2020	4/20/2020	447524	38295.64		2116422
ACC44781980	19238-194244	2020	1/19/2020	88946	24387.07		344828
ACC447831634	6845-82020	2020	4/29/2020	547756	50961.99		992552
ACC447846694	72692-76605	2019	3/19/2019	412918	11483.79		709126
ACC447873826	11713-100730	2019	08/12/2019	690272	18125.24		878152
ACC447922042	73722-103424	2020	3/20/2020	153912	31094.45		2423762
ACC447941088	76762-104588	2020	1/22/2020	652190	18927.8		473748
ACC44798051	297-139	2020	4/14/2020	306790	24958.59		416020
ACC447982219	16854-146048	2020	05/05/2020	787798	26300.75		938190
ACC447994245	21934-100817	2019	6/30/2019	246752	10852.8		154484
ACC448000998	6884-76063	2019	09/01/2019	545160	58005.1		569404
ACC448042255	74386-92938	2020	05/02/2020	560406	12873.83		1460184
ACC448052173	17364-173406	2019	07/09/2019	233486	12117.82		319594
ACC448066624	13604-108690	2020	1/17/2020	356532	15103.86		294030
ACC448084657	13938-104015	2019	12/11/2019	337040	64643.51		444466
ACC448127635	79529-101065	2020	3/31/2020	520608	28803.62		258214
ACC448148935	79264-93868	2019	9/18/2019	135345	18745.78		444972
ACC448155689	27300-241524	2019	10/18/2019	131472	18677.95		429902
ACC448166602	20181-203487	2019	04/11/2019	135345	16010.16		331848
ACC448199906	22471-220904	2020	3/24/2020	312598	15448.33		0
ACC448247829	27708-240564	2019	3/13/2019	311476	30420.14		905542
ACC448279011	75828-94910	2019	3/19/2019	336116	22955.8		640816
ACC44832189	74105-23807	2019	2/15/2019	133584	10855.65		171292
ACC448368735	22871-102491	2019	09/10/2019	172084	23545.37		447260
ACC448393744	11105-100844	2019	11/28/2019	636394	15934.16		841720
ACC448401443	75003-33060	2019	9/18/2019	313236	17791.6		268466
ACC448461274	19695-165566	2019	08/12/2019	431860	6748.61		518738
ACC448505994	74108-17656	2019	11/13/2019	135345	22562.69		545446
ACC448510697	18946-177247	2019	07/07/2019	135345	24034.05		790086
ACC448598554	5440-1319	2019	1/31/2019	122078	8229.85		151184
ACC448618339	6205-30	2019	3/19/2019	572704	11660.87		1779954
ACC448631240	6618-69880	2020	3/25/2020	245850	10527.71		368852
ACC448662873	10862-103208	2019	04/04/2019	26532	286.52		15488
ACC44866626	79292-99564	2020	4/29/2020	359568	41346.47		642356
ACC448684565	15466-156825	2020	3/25/2020	301554	28664.92		338360
ACC448694040	74296-77462	2020	03/12/2020	131252	4718.65		220902
ACC448714418	6342-10647	2019	7/13/2019	135345	24043.93		402666
ACC448725680	10496-100761	2020	05/07/2020	86086	6707.38		349734
ACC448733344	6657-73731	2020	01/11/2020	433818	25308.95		453046
ACC448748083	11474-105326	2019	11/18/2019	117986	21466.77		370788
ACC448760022	74254-65021	2020	4/30/2020	135345	7086.24		277024
ACC448763554	8971-94801	2019	08/05/2019	325424	8684.14		632632
ACC448777909	16946-106016	2019	6/13/2019	389664	16452.48		463166
ACC448804503	253-136	2019	2/18/2019	358292	29562.86		561682
ACC448808185	28591-249796	2019	03/06/2019	235422	9352.37		357038
ACC448809386	6381-25487	2019	9/16/2019	175736	17468.03		204380
ACC448815748	24712-197869	2019	9/20/2019	515372	34773.61		875644
ACC448827647	2946-87321	2019	01/07/2019	261140	16539.5		204710
ACC448833205	6214-38	2019	07/01/2019	155276	13444.97		283184
ACC448845026	270-138	2019	09/06/2019	313390	12968.83		417362
ACC448846243	10019-98985	2019	12/10/2019	131098	16146.39		375694
ACC448866960	5434-872	2020	3/17/2020	413160	7987.03		1993288
ACC448880862	10770-100758	2019	11/13/2019	336446	22083.7		961664
ACC448895067	6822-82361	2019	10/23/2019	471988	23438.02		2620200
ACC448965085	24838-238076	2019	10/14/2019	294800	24723.94		888338
ACC448974370	48194-254256	2019	01/04/2019	420706	24281.05		788216
ACC448980841	10625-100287	2019	10/07/2019	215732	10602.76		256982
ACC448994157	27847-248910	2019	5/25/2019	132572	13692.54		240790
ACC449054515	75960-108269	2019	3/21/2019	101244	15565.37		197890
ACC449096585	11473-103805	2019	05/02/2019	508904	19790.78		695354
ACC449108305	75004-70380	2019	5/18/2019	293634	20034.55		93500
ACC449181025	75324-95897	2019	06/04/2019	251900	40931.51		615010
ACC449181517	73787-111045	2019	06/04/2019	395846	12709.1		811580
ACC44918517	248-135	2019	3/19/2019	533280	22516.14		1729508
ACC449197191	74125-25289	2019	02/05/2019	404514	21659.81		702328
ACC449221758	8115-95975	2019	4/23/2019	447788	22156.09		880264
ACC449244801	73566-81441	2019	7/30/2019	527428	24343.37		702834
ACC449278694	17562-165406	2019	06/05/2019	352330	35257.92		439714
ACC449354809	5803-15714	2019	10/02/2019	627088	32494.56		1175658
ACC449361599	8916-95345	2020	1/17/2020	267938	11151.48		193182
ACC449404179	5392-873	2020	04/06/2020	172986	13049.2		378136
ACC449421311	5640-2442	2019	03/05/2019	269544	14799.86		379324
ACC449438947	22162-218186	2019	03/04/2019	64548	14633.42		277596
ACC449443202	74178-32999	2020	04/06/2020	258368	14047.27		923164
ACC449483828	73165-21582	2019	8/21/2019	135345	25839.05		810304
ACC449502853	6697-73722	2020	1/31/2020	161524	25574		1185228
ACC449514884	11034-104012	2019	02/06/2019	145882	9992.86		146938
ACC44955121	5285-803	2019	11/27/2019	375694	15005.44		731060
ACC449558238	8863-95109	2019	2/21/2019	610654	18542.48		575960
ACC449558346	10436-98953	2019	5/22/2019	435072	25231.81		298452
ACC449595019	6540-62379	2020	04/10/2020	111672	17980.46		23320
ACC44962815	10861-103209	2019	9/13/2019	108834	11403.42		1094896
ACC449633852	76470-97550	2020	03/04/2020	259864	4450.94		554554
ACC449655596	29429-253366	2019	8/24/2019	397298	18811.71		640596
ACC44966405	75959-108270	2019	05/08/2019	55682	10702.51		87054
ACC449683276	6225-283	2019	1/29/2019	247412	6194		483846
ACC449699959	10673-100271	2020	1/27/2020	756228	20836.92		1735910
ACC449703735	74282-65040	2019	04/07/2019	331320	4829.04		526350
ACC449723669	10351-99161	2019	01/09/2019	218922	13211.27		538912
ACC449739534	10261-100356	2019	10/17/2019	700348	79828.69		1528846
ACC449769337	74705-96758	2019	02/09/2019	252560	21624.66		542410
ACC449780157	75506-33861	2019	9/14/2019	130108	11554.28		311938
ACC449791729	6324-9153	2020	01/02/2020	135345	4393.18		101398
ACC449811497	12848-95170	2019	10/31/2019	135345	38298.68		3258178
ACC449896609	78024-107376	2020	3/27/2020	107800	7398.22		260766
ACC449937280	2817-86203	2019	04/09/2019	72292	11478.28		293920
ACC449948713	5425-1281	2020	02/03/2020	257686	31865.28		3820740
ACC449997603	9193-151286	2019	4/14/2019	196878	21182.34		746372
ACC450012882	237-230005	2020	1/22/2020	44880	5950.61		188826
ACC450027238	73824-111025	2020	12/31/2019	268092	17447.7		465476
ACC450046536	5458-1287	2019	07/12/2019	214126	9356.55		441474
ACC450047582	75535-33240	2019	8/28/2019	402820	26936.68		306416
ACC450059308	73347-22033	2019	3/31/2019	376200	16291.55		522346
ACC45006218	9597-97205	2019	10/03/2019	445082	16900.12		539044
ACC4500682	25970-92950	2019	4/22/2019	33374	28806.47		544610
ACC450068488	19585-197866	2019	10/08/2019	190058	15449.28		281776
ACC450073862	73888-124166	2019	04/08/2019	33396	8484.64		284416
ACC45007926	8758-94827	2019	11/09/2019	262504	18576.87		264704
ACC450082152	29548-245835	2019	9/14/2019	262658	8571.66		197230
ACC450102122	76782-108571	2019	11/08/2019	350702	10855.84		874390
ACC450117167	6615-65341	2020	1/15/2020	192852	9412.79		299288
ACC450123238	73754-103426	2020	01/08/2020	51678	17204.12		275462
ACC450134593	74247-51499	2019	1/29/2019	258016	13267.89		398024
ACC450147036	17563-172724	2019	11/13/2019	271216	18149.18		492360
ACC45015896	74791-99277	2019	8/16/2019	787798	36221.03		1372184
ACC450187025	22796-224831	2019	07/08/2019	179872	26535.21		140712
ACC450190335	18651-103417	2019	12/05/2019	778866	7264.46		427526
ACC450196508	15382-192845	2019	4/30/2019	534556	32161.87		187022
ACC450206820	11476-105389	2019	3/15/2019	135345	8715.87		151558
ACC450208480	10674-100914	2020	1/27/2020	237006	15600.71		465080
ACC450221216	76165-93492	2019	06/02/2019	569360	18761.36		709676
ACC450284961	74140-17674	2019	8/23/2019	135345	22116.95		565906
ACC450332967	13426-105051	2020	03/01/2020	74800	24358.76		57574
ACC450335058	74348-82460	2019	02/10/2019	135345	13973.93		934164
ACC45034432	6508-61959	2020	04/05/2020	753588	136679.16		11603856
ACC450386004	74380-91500	2019	11/12/2019	65252	15684.12		1551528
ACC450404524	74879-100329	2020	1/28/2020	220528	42558.1		665390
ACC450414578	73753-100345	2020	04/10/2020	150546	10960.34		675334
ACC450457048	74261-67760	2019	11/20/2019	532642	35191.04		921360
ACC450466663	74109-24367	2019	04/03/2019	219164	15577.53		420156
ACC450499023	8677-94425	2019	3/15/2019	372724	33136.95		436040
ACC45051417	74353-83166	2020	3/13/2020	314226	11363.71		163944
ACC450565919	72937-94128	2019	4/21/2019	228162	12047.71		787006
ACC450590395	19134-193664	2019	05/10/2019	553916	29451.14		680460
ACC450613578	15861-113264	2019	07/06/2019	445940	21422.88		806124
ACC450620792	6910-79462	2020	12/30/2019	562100	28282.26		921514
ACC450667282	74357-84402	2019	02/06/2019	186120	9292.71		153274
ACC450667494	296-144	2020	1/15/2020	431860	8465.07		476806
ACC450713036	79240-86330	2019	1/31/2019	501578	15262.7		895136
ACC450722737	74388-82293	2019	5/25/2019	193248	24546.1		272602
ACC450739894	5449-1318	2019	11/04/2019	32626	8680.53		215380
ACC450763127	74347-82291	2019	02/05/2019	444312	14069.88		326590
ACC450808827	76907-129326	2020	03/05/2020	774994	41601.26		1016356
ACC450826076	3780-126767	2019	05/03/2019	386342	15957.15		598312
ACC450862671	15467-150413	2019	6/26/2019	523028	91283.79		625812
ACC450876108	14944-153755	2019	9/24/2019	543796	24610.13		782012
ACC450902787	5671-102288	2019	06/04/2019	262570	12732.09		760980
ACC450903871	14104-107935	2019	08/09/2019	518012	26875.5		1148312
ACC450907859	6570-60399	2019	8/22/2019	135345	27328.65		953524
ACC450916825	74306-78900	2019	12/05/2019	39930	8217.88		307890
ACC450941063	19641-124167	2019	6/22/2019	614614	16541.21		485672
ACC450972454	20001-183945	2020	02/10/2020	260062	21817.7		431706
ACC450983660	74245-51679	2019	3/28/2019	173844	8726.32		314952
ACC450986740	74340-83165	2019	6/20/2019	532972	20643.12		468402
ACC451010280	14451-119784	2019	5/24/2019	135345	24923.06		1015256
ACC451027442	5372-165565	2019	8/31/2019	104522	14574.9		206910
ACC451037737	74335-82182	2019	10/19/2019	195404	8568.24		4155338
ACC451039816	73806-82290	2020	4/29/2020	587796	28352.94		846604
ACC451049144	23170-220812	2020	3/14/2020	135345	24129.62		264594
ACC451056860	76123-78584	2019	10/07/2019	289652	23066.76		133628
ACC451068810	277-198	2019	09/11/2019	360096	25067.84		765886
ACC451085295	73953-101200	2019	03/02/2019	388014	21580.01		966592
ACC451088959	11107-101395	2019	09/04/2019	266948	19596.98		124674
ACC451097135	76434-95682	2020	04/01/2020	135345	53438.07		2969648
ACC451171470	22944-182071	2019	12/02/2019	175934	8641.58		389840
ACC451197302	74534-51539	2020	1/15/2020	131560	12867.94		746790
ACC451206944	25490-228586	2019	1/29/2019	218372	19940.12		686906
ACC451218655	22818-220809	2019	01/02/2019	351406	6448.03		812702
ACC451282843	6425-49679	2019	07/11/2019	440396	37225.94		418462
ACC451294282	10722-102751	2020	4/14/2020	222112	9437.68		445786
ACC4513250	74355-85884	2020	2/24/2020	231264	7078.45		769428
ACC451339841	8626-103726	2019	01/08/2019	532972	20643.12		468402
ACC451358721	70077-138824	2019	8/18/2019	135345	21177.21		370612
ACC451400318	72926-91721	2019	10/14/2019	135345	4253.53		787028
ACC451405079	11477-104016	2019	02/03/2019	438944	12130.74		1411960
ACC451425110	47908-92924	2019	10/07/2019	434236	16407.26		1303610
ACC451429669	79471-90340	2019	5/28/2019	86262	7946.94		319242
ACC451465297	72596-108623	2020	1/13/2020	610588	16492.76		706112
ACC45152071	73561-82103	2020	01/03/2020	325094	15198.1		240658
ACC451572782	23845-232871	2019	3/30/2019	584760	13089.1		519728
ACC451573809	10676-101244	2019	02/06/2019	107382	7140.2		176110
ACC45157770	17975-186945	2020	3/18/2020	363682	16291.55		435424
ACC451579276	19241-199290	2019	05/10/2019	151008	18227.46		349646
ACC451599123	76164-93491	2020	05/03/2020	174680	11616.98		321970
ACC45160692	73431-25047	2019	3/22/2019	265694	23264.74		648714
ACC45161076	74318-81440	2019	03/07/2019	268202	7801.4		259248
ACC451649574	70332-126768	2019	03/08/2019	216128	10166.52		309056
ACC451670422	74330-81880	2020	05/05/2020	532532	19455.62		965140
ACC451731234	76125-90343	2019	06/06/2019	349272	20100.86		185878
ACC451769345	19217-108206	2019	1/19/2019	485166	13411.34		317328
ACC451771513	74415-89100	2019	10/16/2019	262658	13177.83		286550
ACC451781935	6919-86208	2020	02/05/2020	677468	16038.28		527956
ACC451807848	15028-151285	2019	3/19/2019	135345	4248.02		250228
ACC451808020	6906-83643	2019	09/09/2019	135345	4761.59		272602
ACC451834283	74363-88200	2019	7/31/2019	342364	22518.04		483780
ACC451838641	11838-104017	2019	3/13/2019	433598	27550.76		437668
ACC45186194	75001-29516	2019	08/07/2019	748154	12078.87		314556
ACC45187605	6776-78625	2019	08/10/2019	144100	3804.56		246136
ACC45194124	5722-8007	2019	01/04/2019	132242	6183.93		210958
ACC451957716	75005-82269	2019	8/30/2019	349602	26513.55		277310
ACC451958084	252-145	2020	3/13/2020	24266	1161.66		26466
ACC451964444	249-195	2019	04/12/2019	464090	28791.84		614504
ACC451989417	17748-173944	2020	03/04/2020	262680	6276.46		420178
ACC452054218	73871-126744	2019	6/23/2019	211860	6342.2		336666
ACC45208711	5112-147685	2019	7/31/2019	53548	17533.96		243056
ACC452100432	6339-180484	2019	9/20/2019	175604	9653.52		549296
ACC452128700	75009-86329	2019	1/26/2019	384648	26070.47		865524
ACC452142085	5325-165564	2019	7/27/2019	219010	13129.95		345796
ACC452148431	75002-34139	2019	02/07/2019	174548	7106.57		475772
ACC452152699	74141-17714	2019	7/30/2019	52932	5390.3		70466
ACC452157022	72853-92946	2019	9/27/2019	222948	12036.5		162756
ACC452163801	76124-88404	2020	03/03/2020	135345	11135.9		658108
ACC452184939	11995-106752	2020	01/06/2020	216964	17488.55		214632
ACC452206388	11109-102639	2019	4/23/2019	107866	15203.23		411818
ACC45222847	10317-98792	2020	4/22/2020	469106	42485.52		2071784
ACC452229025	11169-104446	2019	9/20/2019	197582	15199.81		1155836
ACC452231161	75672-94216	2020	3/26/2020	280896	8344.8		152856
ACC452237262	10228-100277	2019	01/05/2019	374968	61209.26		352462
ACC452240250	72892-94389	2019	2/23/2019	758076	24816.09		2364670
ACC452263644	74295-65079	2019	3/14/2019	65824	16055.76		395120
ACC452300628	5718-241748	2020	2/27/2020	85888	3746.04		149820
ACC452354121	15145-156124	2019	10/28/2019	177980	22369.27		407066
ACC452383556	6998-92280	2020	3/21/2020	317042	11892.86		509366
ACC452387160	11111-102552	2019	10/04/2019	225126	20580.04		665896
ACC452403964	8915-93534	2019	3/22/2019	66176	8552.28		229174
ACC452416037	75007-83227	2019	09/12/2019	167860	18926.09		208120
ACC452448047	74373-82283	2020	2/18/2020	430320	19859.56		256014
ACC452476316	79344-96655	2019	9/16/2019	304326	9032.98		248116
ACC452476491	79619-101955	2019	11/22/2019	134662	2101.21		154924
ACC452515280	2825-209726	2019	06/04/2019	544016	22100.42		104522
ACC452595059	72690-76606	2019	08/04/2019	480106	24923.06		1015256
ACC452609896	10863-103229	2019	3/15/2019	537240	56789.29		1430924
ACC452610813	79714-108618	2020	1/23/2020	112618	11888.3		389070
ACC452610846	5410-1089	2019	05/10/2019	654720	38481.46		215974
ACC452623330	9128-82271	2019	3/29/2019	161590	32509.95		2036826
ACC452636685	5315-697	2019	2/22/2019	87978	15947.27		457666
ACC452659666	23483-230641	2019	4/16/2019	167486	22782.71		652762
ACC452684765	10316-4256	2020	2/13/2020	366828	17803.57		974732
ACC452689992	239-191	2019	3/17/2019	138116	3752.12		300124
ACC452695261	5342-105589	2020	02/04/2020	135345	7436.22		1165868
ACC452723801	6565-65640	2019	07/10/2019	66836	11224.06		138160
ACC452734042	20276-203488	2020	03/12/2020	269940	1551.92		135124
ACC452749882	16855-176087	2019	03/08/2019	652872	41633.18		591492
ACC452786531	6569-61701	2019	2/20/2019	260436	12294.9		106414
ACC452981247	13490-98427	2019	10/04/2019	212080	16278.82		531366
ACC453161081	74139-17655	2020	3/13/2020	435292	21052.38		979792
ACC453200444	74697-96759	2019	9/25/2019	439846	4884.33		358754
ACC453201242	16916-176065	2020	3/19/2020	515284	13293.16		570108
ACC453203218	5804-3137	2020	3/26/2020	135652	14401.43		120274
ACC453211952	6528-3140	2019	3/14/2019	177980	18444.25		431508
ACC45322191	75006-75246	2019	10/17/2019	121176	21969.13		807862
ACC45323534	79283-82266	2020	03/04/2020	516956	21584		454762
ACC453260044	72648-48399	2019	08/04/2019	471482	22621.21		399696
ACC453274894	74479-84400	2019	3/29/2019	566786	27299.39		686752
ACC453279222	27851-193845	2019	6/30/2019	762850	205801.35		98627914
ACC453294629	28594-249822	2019	11/23/2019	449636	36243.45		844822
ACC453298436	10262-99008	2020	02/07/2020	134200	15678.8		234850
ACC453323475	76472-97585	2019	06/09/2019	313456	8775.34		705452
ACC453328382	22526-215010	2019	06/02/2019	135345	20031.32		794750
ACC453367586	9693-97948	2019	04/12/2019	263516	22104.6		351604
ACC453369302	73844-102077	2019	9/14/2019	332838	18476.74		563816
ACC453369518	74238-17755	2020	3/19/2020	546634	28344.58		1457676
ACC453371781	74110-97326	2019	12/07/2019	179806	11173.9		341110
ACC453391570	74132-17754	2019	12/03/2019	446226	6395.97		219362
ACC453407188	16853-176086	2020	03/07/2020	121484	20347.86		636592
ACC453413500	5306-250709	2019	04/07/2019	336270	27282.86		598664
ACC453414705	76651-97549	2020	1/19/2020	329120	15538.01		272096
ACC453424968	6638-64283	2019	07/02/2019	394922	13501.02		263714
ACC453439484	74110-23948	2019	10/26/2019	462374	31945.46		598554
ACC453460702	8663-94102	2019	7/17/2019	419716	17110.45		768020
ACC453461356	10677-99648	2019	3/16/2019	132286	7983.99		183282
ACC453466514	5587-137175	2019	11/06/2019	436040	13564.86		562452
ACC453509418	16497-170104	2019	04/05/2019	344828	17194.62		562254
ACC453512902	10723-101369	2019	07/06/2019	185416	21714.53		1008744
ACC453570862	6382-27308	2019	05/10/2019	159038	21342.89		260590
ACC453579781	16858-129325	2019	10/30/2019	290026	30202.4		501754
ACC453623101	18736-94610	2020	2/29/2020	135345	13130.9		505054
ACC453635794	17663-175248	2019	5/24/2019	172788	15343.07		224444
ACC453639669	10499-103660	2019	8/21/2019	32780	18670.73		37158
ACC453651719	74341-82292	2019	02/08/2019	135345	20463.19		1057892
ACC453676248	72588-103418	2019	1/19/2019	177452	15246.36		483164
ACC453682383	76854-111233	2020	03/02/2020	440594	22153.24		1056264
ACC453692332	8664-94423	2020	2/23/2020	355982	6045.42		365772
ACC453714821	6759-76042	2020	04/01/2020	518276	20888.41		557458
ACC453744456	74333-83620	2020	3/25/2020	195162	4604.84		216744
ACC453797593	50210-271889	2019	5/29/2019	265276	6281.02		754688
ACC453799624	17733-171004	2019	5/14/2019	378268	15584.56		371624
ACC45382958	25027-92923	2020	1/27/2020	308374	16264.57		643522
ACC453835187	74120-17634	2020	05/12/2020	548042	19883.31		297968
ACC453837218	6456-43259	2019	1/13/2019	559746	30398.29		837210
ACC453860092	73837-110987	2020	4/29/2020	476256	16281.1		496056
ACC453868679	76713-102463	2019	10/01/2019	604846	21268.03		717838
ACC453888230	10866-103227	2019	1/22/2019	563420	32471.76		568458
ACC453937114	28271-233545	2019	1/26/2019	397430	33965.54		954184
ACC453961530	13339-105636	2019	12/05/2019	135345	8116.61		144914
ACC453968159	73955-93848	2020	3/26/2020	448888	10488.76		507144
ACC454016494	75421-105054	2019	4/29/2019	785400	26691.58		594946
ACC454022924	24070-93498	2019	8/31/2019	465190	29533.6		299178
ACC454047288	6627-71282	2019	06/06/2019	250118	17750.37		330528
ACC4540670	11112-100727	2019	09/12/2019	195888	5920.97		1334982
ACC454091398	13492-106900	2019	1/24/2019	480656	22970.43		781352
ACC454092320	2875-92974	2019	12/09/2019	384120	21618.96		199188
ACC454122234	74155-25928	2020	05/02/2020	216326	37739.13		873488
ACC454133186	27002-108202	2020	2/20/2020	135345	5520.45		240174
ACC454136838	8685-94424	2020	2/27/2020	431332	45031.52		472318
ACC454144149	79746-124168	2019	7/23/2019	211882	19622.06		578160
ACC454146461	76895-121624	2020	1/17/2020	518716	13644.47		668360
ACC454150362	26930-246154	2020	1/28/2020	135345	2056.18		174900
ACC454159225	19568-93831	2019	04/04/2019	160864	10776.99		418528
ACC45419008	2939-244628	2020	1/23/2020	324962	30870.44		1279388
ACC454191166	74833-99499	2019	5/24/2019	325908	15070.99		395428
ACC454212946	79273-93497	2019	03/06/2019	130768	32805.78		357236
ACC454252544	72611-22321	2020	3/26/2020	318296	5936.74		580910
ACC454260377	74480-82282	2019	1/27/2019	43516	11380.24		32670
ACC454289956	10867-99865	2020	4/22/2020	394372	17481.71		1401664
ACC454333372	20645-195365	2020	3/27/2020	433796	26810.33		1531266
ACC454355127	9946-98432	2019	03/04/2019	411268	14563.88		957286
ACC454371539	6945-86206	2019	06/05/2019	549736	12296.42		864710
ACC454374420	73874-110989	2020	2/18/2020	354882	19174.99		308374
ACC454408291	18537-92947	2019	2/21/2019	312796	16914.75		171952
ACC454408831	11479-100284	2019	11/13/2019	135345	27411.49		380490
ACC454435173	9599-97632	2019	5/31/2019	55528	33892.2		988372
ACC454442059	72647-48379	2020	03/09/2020	135345	1886.13		150040
ACC454531538	9554-97218	2019	09/12/2019	318516	14709.04		442046
ACC454539893	73172-21492	2020	2/29/2020	655710	12384.96		216392
ACC454584126	74407-85001	2020	4/16/2020	165264	3496.76		220264
ACC45473330	21637-212584	2019	11/13/2019	108284	39113.97		1708102
ACC454736254	26207-240130	2019	1/21/2019	194150	12187.74		916212
ACC454810049	79617-113625	2019	8/24/2019	217404	13143.06		115148
ACC454841540	74366-83224	2020	03/06/2020	360162	20256.28		512886
ACC454861174	78016-103687	2020	3/18/2020	88704	8715.11		301642
ACC45487260	1301-150415	2020	4/20/2020	135345	32205.38		452034
ACC454901801	19855-92925	2019	12/03/2019	197164	20118.34		78892
ACC45493853	9692-98012	2020	1/16/2020	304106	28612.67		534886
ACC454949904	76717-103835	2020	2/23/2020	430056	29638.67		139722
ACC454970188	6223-627	2019	10/18/2019	135345	6560.89		320012
ACC45506092	13233-105953	2019	06/01/2019	437668	18710.25		2321484
ACC455065453	5647-2441	2020	3/28/2020	369644	39904.56		1254352
ACC455085187	10724-99651	2020	1/31/2020	518716	23925.18		591734
ACC455094446	10437-99160	2020	01/10/2020	428230	30754.54		617078
ACC455094753	25969-242724	2019	06/08/2019	64394	18550.08		300674
ACC455108376	6879-83646	2020	04/08/2020	135345	4584.7		228756
ACC455128816	19224-192844	2020	04/06/2020	88836	7210.88		182270
ACC455231116	29643-254412	2020	05/10/2020	135345	3527.16		70290
